season_end_year,CP_1987,CP_1988,gap
2012,73.29,70.44,-2.85
2013,76.01,74.57,-1.44
2014,73.18,66.67,-6.51
2015,70.93,67.85,-3.08
2016,65.01,55.96,-9.05
2017,73.81,65.39,-8.42
2018,70.43,66.98,-3.45
2019,65.07,55.41,-9.66
2020,65.97,54.37,-11.6
2021,62.65,56.84,-5.81
2022,70.77,64.91,-5.86
2023,65.42,58.27,-7.15
2024,60.1,46.5,-13.6
2025,58.91,50.25,-8.66
