metric,value
bias_min_CP,-2.06
bias_max_CP,0.739999999999995
bias_range_CP,2.8
bias_ensemble_CP,-0.450000000000003
bias_min_model,UKESM1-0-LL
bias_max_model,EC-Earth3-Veg
bias_worst_abs_CP,2.06
r_min,0.960139951296174
n_bias_stations,3044
chain_stations,3460
chain_models,11
chain_swc_values,38060
chain_cells,502264
delta_median_CP,-11.79
delta_min_CP,-29.985
delta_max_CP,-7.92
walk_station,7121A
walk_p10_obs,66.62
walk_med_base,65.24
walk_med_far,44.85
