stations,n,lon,lat,swc_min,swc_max,spread,todos_obs,spread_obs
8008A 8008Y,2,-0.866,38.577,71.1,71.55,0.450000000000003,TRUE,2.16
3170 3170E,2,-3.292,40.52,75.12,75.57,0.449999999999989,TRUE,0.179999999999993
4575 4575X,2,-6.752,37.572,57.26,57.7,0.440000000000005,TRUE,0.019999999999996
9302C 9302X 9302Y,3,-1.609,42.056,77.47,77.91,0.439999999999998,TRUE,1.14
0149D 0149X,2,1.84,41.72,73.78,74.18,0.400000000000006,TRUE,0.400000000000006
0421E 0421X,2,3.006,42.39,72.23,72.62,0.390000000000001,TRUE,0.0300000000000011
4386 4386X,2,-6.014,38.235,75.09,75.48,0.390000000000001,TRUE,0.659999999999997
8489A 8489X,2,-0.256,40.433,74.89,75.27,0.379999999999995,TRUE,0.140000000000001
9283I 9283Y,2,-1.79,42.184,75.89,76.27,0.379999999999995,FALSE,
9171I 9171K,2,-2.184,42.57,78.77,79.14,0.370000000000005,TRUE,1.51000000000001
9911F 9911X,2,0.188,41.619,73.71,74.08,0.370000000000005,TRUE,0.170000000000002
5459U 5459X,2,-4.929,38.111,70.46,70.8,0.340000000000003,FALSE,
2370 2370A,2,-4.737,42.523,73.65,73.98,0.329999999999998,TRUE,0.780000000000001
8084 8084Y,2,-1.927,40.221,70.63,70.96,0.329999999999998,TRUE,0.410000000000011
4103C 4103X,2,-3.007,39.169,74.18,74.49,0.309999999999988,TRUE,0.77000000000001
2005 2005X,2,-2.784,41.967,68.41,68.7,0.290000000000006,TRUE,0.410000000000011
2100E 2100X,2,-3.689,41.65,74.06,74.35,0.289999999999992,TRUE,2.17
1111 1111X,2,-3.801,43.491,62.97,63.25,0.280000000000001,TRUE,0.399999999999999
8416 8416Y,2,-0.366,39.481,43.62,43.9,0.280000000000001,TRUE,0.490000000000002
4147B 4147X,2,-3.391,38.751,76.35,76.6,0.25,FALSE,
3422 3422Y,2,-5.325,40.109,77.28,77.52,0.239999999999995,TRUE,1
9121 9121X,2,-2.855,42.575,78.82,79.01,0.190000000000012,TRUE,0.0799999999999983
9145 9145Y,2,-2.639,42.483,78.91,79.08,0.170000000000002,TRUE,0
9174 9174X,2,-2.056,42.374,78.38,78.54,0.160000000000011,TRUE,0.459999999999994
9935A 9935X,2,0.146,40.873,75.27,75.43,0.160000000000011,TRUE,0.0699999999999932
0171C 0171X,2,1.618,41.579,74.5,74.62,0.120000000000005,TRUE,0.379999999999995
1226 1226X,2,-5.477,43.095,77.85,77.93,0.0800000000000125,TRUE,0.409999999999997
4193 4193Y,2,-4.284,39.218,74.1,74.16,0.0600000000000023,TRUE,0.530000000000001
7195 7195X,2,-2.058,37.926,77.86,77.92,0.0600000000000023,TRUE,0.340000000000003
9453 9453X,2,-0.319,42.699,72.52,72.58,0.0600000000000023,FALSE,
9756 9756X,2,0.48,42.113,76.76,76.81,0.0499999999999972,TRUE,0.799999999999997
8369A 8369B,2,-1.106,40.341,75.75,75.79,0.0400000000000063,TRUE,0.140000000000001
9772E 9772X,2,0.914,41.366,76.7,76.72,0.019999999999996,TRUE,1.11
