window,periodo,nominal,kept,lost,pct
far,2071-2100,3425400,3411560,13840,0.404040404040404
nearterm,2021-2040,2283600,2283600,0,0
near,2041-2070,3425400,3425400,0,0
ref,1985-2014,1141800,1141800,0,0
current,1995-2025,1179860,1179860,0,0
present,1995-2020,1068704,1068704,0,0
obsref,1991-2020,91320,91320,0,0
