situation,n_models,need,km2_band_agreed,pct_band_agreed
historical_ref,11,9,2503.13316678755,1.08985450762847
presente_present,11,9,2883.64436685891,1.25552761367944
ssp126_far,11,9,1260.4601688146,0.548799486537796
ssp126_near,11,9,1585.30616731285,0.690236178938282
ssp126_nearterm,11,9,3283.22341592074,1.42950278749443
ssp245_far,11,9,216.504584707334,0.0942652595140756
ssp245_near,11,9,4942.61091022315,2.15199368992163
ssp245_nearterm,11,9,2238.96702333736,0.974837589622664
ssp370_far,11,9,0.97465378364047,0.000424360490912653
ssp370_near,11,9,7338.74538738619,3.19526138157687
ssp370_nearterm,11,9,2497.28479638292,1.08730814975493
